"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_853.6477",4.8285e-28,27.316,2.3929e-27,"region_10-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_13-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.09082
"MZ_800.5511",4.8507e-28,27.314,2.4024e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.264
"MZ_849.5560",4.8693e-28,27.313,2.41e-27,"region_3-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.104
"MZ_851.6336",5.0496e-28,27.297,2.4977e-27,"region_7-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_7-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_7-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1926
"MZ_774.5217",5.0683e-28,27.295,2.5054e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1824
"MZ_800.5385",5.0736e-28,27.295,2.5064e-27,"region_1-region_8; region_3-region_8; region_4-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",2.15
"MZ_844.5243",5.1e-28,27.292,2.5178e-27,"region_1-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_7-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.5459
"MZ_742.5282",5.3261e-28,27.274,2.6269e-27,"region_3-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.059
"MZ_825.6171",5.3277e-28,27.273,2.6269e-27,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_11-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_13-region_12; region_13-region_9",1.757
"MZ_741.5274",5.512e-28,27.259,2.7161e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_10-region_7; region_10-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.534
"MZ_796.5216",5.7294e-28,27.242,2.8215e-27,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_7-region_1; region_4-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.63
"MZ_849.5554",6.079e-28,27.216,2.9917e-27,"region_3-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.9996
"MZ_756.5513",6.5792e-28,27.182,3.2359e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.6918
"MZ_822.5375",6.6095e-28,27.18,3.2487e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.032
"MZ_825.5569",6.6899e-28,27.175,3.2862e-27,"region_2-region_8; region_3-region_8; region_2-region_1; region_3-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10",1.473
"MZ_820.5170",6.7781e-28,27.169,3.3274e-27,"region_1-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_2-region_1; region_5-region_1; region_9-region_1; region_13-region_1; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12",1.344
"MZ_742.5331",7.036e-28,27.153,3.4519e-27,"region_3-region_8; region_10-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.08388
"MZ_853.6467",7.1487e-28,27.146,3.505e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3877
"MZ_830.5451",7.1996e-28,27.143,3.5277e-27,"region_3-region_8; region_2-region_1; region_3-region_1; region_3-region_2; region_11-region_2; region_4-region_2; region_5-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3",1.409
"MZ_756.5465",7.4735e-28,27.126,3.6596e-27,"region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1128
"MZ_796.5202",7.5211e-28,27.124,3.6807e-27,"region_1-region_8; region_3-region_8; region_11-region_8; region_10-region_8; region_12-region_8; region_2-region_1; region_7-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_12-region_2; region_7-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_5-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.075
"MZ_846.5365",7.6588e-28,27.116,3.7457e-27,"region_3-region_8; region_4-region_8; region_10-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_4-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.6789
"MZ_800.5426",7.7281e-28,27.112,3.7772e-27,"region_1-region_8; region_3-region_8; region_4-region_8; region_10-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.828
"MZ_844.5187",8.6753e-28,27.062,4.2375e-27,"region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.1998
"MZ_850.5617",8.9763e-28,27.047,4.3818e-27,"region_1-region_8; region_3-region_8; region_4-region_8; region_2-region_1; region_11-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",2.114
"MZ_825.6210",9.1063e-28,27.041,4.4425e-27,"region_3-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.486
"MZ_824.5474",9.1992e-28,27.036,4.485e-27,"region_1-region_8; region_3-region_8; region_11-region_8; region_7-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_9-region_11; region_13-region_11; region_5-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5",2.247
"MZ_741.5225",9.2383e-28,27.034,4.5013e-27,"region_3-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.722
"MZ_822.5367",9.6e-28,27.018,4.6746e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.543
"MZ_800.5482",9.652e-28,27.015,4.697e-27,"region_10-region_8; region_5-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.635
"MZ_825.5514",9.6965e-28,27.013,4.7157e-27,"region_1-region_8; region_3-region_8; region_5-region_8; region_13-region_8; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12",2.588
"MZ_743.5346",9.9738e-28,27.001,4.8476e-27,"region_3-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_7; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.296
"MZ_796.5217",1.0104e-27,26.996,4.9079e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_7-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.631
"MZ_800.5506",1.0148e-27,26.994,4.926e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_12-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.232
"MZ_796.5267",1.0243e-27,26.99,4.9694e-27,"region_1-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.2791
"MZ_825.6228",1.0507e-27,26.979,5.094e-27,"region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_11-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_13-region_12",1.011
"MZ_820.5167",1.0787e-27,26.967,5.2264e-27,"region_4-region_8; region_5-region_8; region_13-region_8; region_4-region_1; region_5-region_1; region_13-region_1; region_4-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.525
"MZ_800.5431",1.1163e-27,26.952,5.4055e-27,"region_1-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.909
"MZ_820.5171",1.1395e-27,26.943,5.5142e-27,"region_7-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_4-region_1; region_5-region_1; region_13-region_1; region_4-region_2; region_5-region_2; region_13-region_2; region_4-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.426
"MZ_797.5219",1.1441e-27,26.942,5.5333e-27,"region_3-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_7-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_5-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_5-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.826
"MZ_800.5434",1.1539e-27,26.938,5.5771e-27,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_11-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.401
"MZ_800.5428",1.1692e-27,26.932,5.6477e-27,"region_1-region_8; region_3-region_8; region_4-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_11-region_1; region_7-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_4-region_2; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_13-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.985
"MZ_820.5256",1.2011e-27,26.92,5.7949e-27,"region_3-region_8; region_4-region_8; region_10-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_4-region_2; region_10-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10",0.2955
"MZ_757.5511",1.2012e-27,26.92,5.7949e-27,"region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_10-region_3; region_12-region_3; region_10-region_11; region_12-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.7989
"MZ_534.2953",1.2237e-27,26.912,5.8999e-27,"region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.409
"MZ_534.2924",1.2287e-27,26.911,5.9205e-27,"region_1-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_5-region_2; region_13-region_2; region_10-region_3; region_5-region_3; region_13-region_3; region_10-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.38
"MZ_772.5218",1.2489e-27,26.903,6.014e-27,"region_5-region_8; region_12-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_12-region_4; region_9-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3466
"MZ_844.5167",1.2686e-27,26.897,6.1052e-27,"region_1-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_5-region_2; region_13-region_2; region_5-region_3; region_13-region_3; region_5-region_11; region_12-region_11; region_13-region_11; region_5-region_7; region_12-region_7; region_13-region_7; region_5-region_4; region_13-region_4; region_5-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3263
"MZ_848.5576",1.389e-27,26.857,6.6803e-27,"region_7-region_8; region_4-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_3-region_2; region_7-region_2; region_4-region_2; region_11-region_3; region_4-region_3; region_5-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_4-region_7; region_5-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4",0.3102
"MZ_849.5589",1.4996e-27,26.824,7.2082e-27,"region_3-region_8; region_4-region_8; region_5-region_8; region_3-region_1; region_7-region_1; region_4-region_1; region_3-region_2; region_4-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_4-region_7; region_5-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_13-region_10",0.983
