"","p.value","-log10(p)","FDR","Tukey's HSD","vip"
"MZ_773.5289",2.3879e-78,77.622,8.9034e-76,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_10-region_2; region_12-region_2; region_9-region_2; region_11-region_3; region_7-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",1.302
"MZ_772.5249",3.2671e-78,77.486,1.1628e-75,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.3925
"MZ_772.5258",2.0461e-77,76.689,6.9655e-75,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.6083
"MZ_826.5655",4.7097e-76,75.327,1.5365e-73,"region_1-region_8; region_3-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.753
"MZ_773.5270",4.9871e-76,75.302,1.562e-73,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",0.7767
"MZ_798.5380",1.1817e-75,74.927,3.5587e-73,"region_1-region_8; region_3-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_7-region_1; region_4-region_1; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_13-region_7; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",2.035
"MZ_741.5283",1.877e-75,74.727,5.4433e-73,"region_2-region_8; region_3-region_8; region_11-region_8; region_10-region_8; region_5-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_11-region_1; region_10-region_1; region_5-region_1; region_13-region_1; region_3-region_2; region_11-region_2; region_7-region_2; region_4-region_2; region_10-region_2; region_5-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_9-region_3; region_13-region_3; region_7-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_13-region_12; region_13-region_9",1.441
"MZ_772.5236",3.0011e-75,74.523,8.3923e-73,"region_1-region_8; region_7-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_3-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.9039
"MZ_772.5227",6.4484e-75,74.191,1.7411e-72,"region_10-region_8; region_5-region_8; region_12-region_8; region_9-region_8; region_13-region_8; region_10-region_1; region_5-region_1; region_12-region_1; region_9-region_1; region_13-region_1; region_3-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_12-region_3; region_13-region_3; region_10-region_11; region_5-region_11; region_12-region_11; region_9-region_11; region_13-region_11; region_10-region_7; region_5-region_7; region_12-region_7; region_9-region_7; region_13-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_12-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.1786
"MZ_772.5261",7.7889e-74,73.109,2.0329e-71,"region_1-region_8; region_2-region_8; region_11-region_8; region_7-region_8; region_4-region_8; region_10-region_8; region_5-region_8; region_12-region_8; region_13-region_8; region_2-region_1; region_3-region_1; region_4-region_1; region_10-region_1; region_12-region_1; region_9-region_1; region_3-region_2; region_11-region_2; region_10-region_2; region_5-region_2; region_12-region_2; region_9-region_2; region_13-region_2; region_11-region_3; region_7-region_3; region_4-region_3; region_10-region_3; region_5-region_3; region_13-region_3; region_4-region_11; region_10-region_11; region_12-region_11; region_9-region_11; region_10-region_7; region_12-region_7; region_9-region_7; region_10-region_4; region_5-region_4; region_12-region_4; region_9-region_4; region_13-region_4; region_5-region_10; region_9-region_10; region_13-region_10; region_12-region_5; region_9-region_5; region_9-region_12; region_13-region_12; region_13-region_9",0.3147
