"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"MSI02075",100.686,131.094,169.711,480.658,0.593,-0.753,0.436,0.58,0.347,0.093
"MSI02076",103.101,130.634,325.65,669.753,0.317,-1.659,0.0698,0.223,0.8,0.22
"MSI02077",61.341,66.39,90.556,102.708,0.677,-0.562,0.181,0.359,0.593,0.169
"MSI02078",69.366,83.424,95.592,104.69,0.726,-0.463,0.272,0.443,0.489,0.13
"MSI02079",52.492,80.235,213.826,408.68,0.245,-2.026,0.0322,0.142,0.94,0.279
"Santene [M]+",43.315,70.897,176.954,419.068,0.245,-2.03,0.0802,0.24,0.772,0.212
"MSI02081",5470.961,365.943,1717.144,2879.221,3.186,1.672,6.08e-10,1.22e-08,2.387,-0.686
"carboxyoxy hydrogen carbonate [M+H]+",5470.961,365.943,1720.102,2877.505,3.181,1.669,6.12e-10,1.22e-08,2.386,-0.686
"Cyclohexane [M+K]+",46.664,89.534,147.741,501.715,0.316,-1.663,0.266,0.439,0.495,0.131
"MSI02084",66.373,81.84,77.16,90.057,0.86,-0.217,0.618,0.72,0.223,0.057
"MSI02085",101.851,164.211,162.11,414.62,0.628,-0.671,0.448,0.586,0.339,0.102
"Tindamax [M]+",66.558,110.649,165.642,432.966,0.402,-1.315,0.214,0.392,0.552,0.144
"MSI02087",70.95,117.966,153.675,329.604,0.462,-1.115,0.186,0.365,0.587,0.172
"MSI02088",52.945,105.657,190.614,378.387,0.278,-1.848,0.0519,0.191,0.856,0.26
"Phloroglucinol [M]+",67.49,101.917,61.908,36.094,1.09,0.125,0.771,0.834,0.13,-0.043
"&gamma [M-H2O+NH4]+",46.291,68.162,86.078,107.421,0.538,-0.895,0.0818,0.243,0.769,0.201
"MSI02091",90.17,140.256,119.165,182.281,0.757,-0.402,0.478,0.609,0.316,0.077
"MSI02092",94.334,153.242,285.08,564.376,0.331,-1.595,0.0698,0.223,0.8,0.219
"DCVT [M]+",60.529,100.897,84.265,92.932,0.718,-0.477,0.331,0.495,0.432,0.146
"MSI02094",56.219,91.234,87.984,130.105,0.639,-0.646,0.263,0.435,0.498,0.141
"MSI02095",65.284,111.955,124.569,223.578,0.524,-0.932,0.185,0.363,0.589,0.15
"MSI02096",77.012,120.531,176.9,383.306,0.435,-1.2,0.165,0.34,0.616,0.178
"MSI02097",65.705,93.737,141.76,283.732,0.463,-1.109,0.155,0.329,0.631,0.203
"MSI02098",33.818,46.615,67.43,43.905,0.502,-0.996,0.00424,0.0266,1.237,0.356
"MSI02099",80.383,139.183,82.274,96.977,0.977,-0.034,0.95,0.967,0.028,0.009
"34698-88-9 [M]+",26.84,38.094,112.326,257.977,0.239,-2.065,0.0684,0.222,0.804,0.217
"alpha,alpha'-Trehalose 6-palmitate [M]+",435.96,65.721,57.434,22.916,7.591,2.924,2.94e-39,3.67e-36,3.397,-0.967
"Hydroxydestruxin B [M+Na]+",27.289,16.162,86.562,77.389,0.315,-1.665,7.54e-05,0.000735,1.663,0.476
"MSI02103",73.7,43.586,61.576,33.225,1.197,0.259,0.215,0.393,0.55,-0.169
"MSI02104",82.035,13.205,268.744,203.639,0.305,-1.712,2.6e-06,3.19e-05,1.926,0.552
"thiophene-2-carbonyl-CoA [M+H-H2O]+",21.117,25.89,57.434,22.916,0.368,-1.444,1.4e-07,2.06e-06,2.112,0.597
"MSI02106",92.781,16.329,63.08,39.217,1.471,0.557,0.000199,0.00179,1.574,-0.442
"TG(54:11) [M+K]+",13.379,11.35,57.434,22.916,0.233,-2.102,4e-14,1.94e-12,2.727,0.78
"Cyanopeptolin A [M]+",23.328,27.849,57.434,22.916,0.406,-1.3,1.35e-06,1.73e-05,1.97,0.555
"MSI02109",99.802,137.861,178.795,379.55,0.558,-0.841,0.273,0.443,0.488,0.122
"MSI02110",76.804,108.853,169.334,362.475,0.454,-1.141,0.172,0.348,0.606,0.165
"MSI02111",74.189,102.351,120.824,178.227,0.614,-0.704,0.204,0.382,0.564,0.153
"MSI02112",88.918,113.987,168.904,340.078,0.526,-0.926,0.212,0.39,0.555,0.154
"MSI02113",134.428,158.925,116.058,199.446,1.158,0.212,0.685,0.77,0.181,-0.049
"MSI02114",159.419,124.317,246.939,484.342,0.646,-0.631,0.326,0.489,0.437,0.127
"MSI02115",35.113,45.673,124.29,178.323,0.283,-1.824,0.008,0.0468,1.152,0.34
"MSI02116",45.757,64.882,90.484,84.1,0.506,-0.984,0.0203,0.104,1.015,0.292
"MSI02117",66.031,76.296,124.491,202.647,0.53,-0.915,0.132,0.306,0.668,0.193
"MSI02118",93.861,147.055,184.709,431.986,0.508,-0.977,0.264,0.437,0.496,0.136
"MSI02119",67.452,82.787,118.226,265.891,0.571,-0.81,0.306,0.475,0.455,0.122
"MSI02120",109.179,170.449,118.226,265.891,0.923,-0.115,0.872,0.908,0.072,0.018
"MSI02121",78.094,101.96,80.674,62.942,0.968,-0.047,0.903,0.932,0.054,0.032
"MSI02122",106.029,154.993,65.21,38.329,1.626,0.701,0.153,0.327,0.633,-0.172
"MSI02123",32.178,27.613,112.618,165.84,0.286,-1.807,0.00877,0.0506,1.14,0.35
"MSI02124",30.867,31.727,110.506,169.796,0.279,-1.84,0.0114,0.0633,1.102,0.342
"MSI02125",58.655,94.365,114.175,169.204,0.514,-0.961,0.11,0.282,0.707,0.208
"MSI02126",112.935,144.657,125.482,176.783,0.9,-0.152,0.757,0.825,0.138,0.031
"MSI02127",84.189,131.955,107.594,124.206,0.782,-0.354,0.468,0.6,0.324,0.074
"MSI02128",55.236,76.062,126.62,259.939,0.436,-1.197,0.141,0.314,0.652,0.18
"&alpha [M+H-2H2O]+",89.796,135.716,89.221,117.476,1.006,0.009,0.986,0.991,0.008,-0.023
"2-Butenal [M+K]+",78.306,91.159,101.496,181.113,0.772,-0.374,0.52,0.64,0.287,0.074
"&beta [M+K]+_2",75.121,88.497,101.496,181.113,0.74,-0.434,0.462,0.596,0.328,0.088
"MSI02132",71.437,83.026,93.213,154.35,0.766,-0.384,0.485,0.614,0.312,0.084
"MSI02133",79.076,138.856,204.302,487.267,0.387,-1.369,0.167,0.343,0.613,0.17
"MSI02134",75.958,134.04,175.721,339.729,0.432,-1.21,0.127,0.301,0.675,0.188
"MSI02135",61.165,92.872,148.57,294.378,0.412,-1.28,0.114,0.287,0.699,0.192
"MSI02136",48.917,54.089,130.882,253.227,0.374,-1.42,0.0782,0.237,0.778,0.228
"MSI02137",41.419,50.959,144.428,248.856,0.287,-1.802,0.0252,0.12,0.981,0.267
"MSI02138",57.087,89.315,169.072,395.255,0.338,-1.566,0.123,0.297,0.683,0.197
"MSI02139",110.096,159.838,178.856,387.078,0.616,-0.7,0.357,0.514,0.411,0.121
"lactate [M+Na]+",74.702,87.295,217.622,344.923,0.343,-1.543,0.0265,0.125,0.972,0.267
"MSI02141",89.876,97.931,260.727,475.363,0.345,-1.536,0.0509,0.188,0.86,0.232
"MSI02142",112.851,133.806,165.258,492.201,0.683,-0.55,0.563,0.673,0.258,0.06
"MSI02143",59.503,70.623,153.335,312.822,0.388,-1.366,0.103,0.273,0.721,0.194
"MSI02144",82.006,111.862,120.504,225.201,0.681,-0.555,0.39,0.543,0.383,0.106
"MSI02145",56.098,38.456,315.71,229.328,0.178,-2.493,3.24e-08,5.36e-07,2.194,0.634
"MSI02146",75.511,74.858,348.968,310.898,0.216,-2.208,9.07e-06,1e-04,1.835,0.53
"109-76-2 [M+K]+",52.819,74.883,77.8,53.103,0.679,-0.559,0.129,0.302,0.673,0.19
"MSI02148",66.471,86.713,156.901,329.369,0.424,-1.239,0.138,0.311,0.657,0.19
"MSI02149",93.397,154.098,145.976,443.098,0.64,-0.644,0.528,0.648,0.281,0.09
"MSI02150",102.45,137.429,127.429,330.675,0.804,-0.315,0.695,0.777,0.176,0.041
"MSI02151",78.244,128.74,78.539,73.65,0.996,-0.005,0.991,0.994,0.005,-0.001
"MSI02152",91.612,139.12,107.232,165.008,0.854,-0.227,0.684,0.769,0.182,0.052
"MSI02153",133.728,181.643,67.199,43.469,1.99,0.993,0.0482,0.181,0.869,-0.259
"vanadate [M]+",94.477,127.369,164.883,295.125,0.573,-0.803,0.22,0.398,0.545,0.149
"MSI02155",100.274,151.774,162.69,393.563,0.616,-0.698,0.406,0.557,0.371,0.08
"Hexanal [M+NH4]+",1674.429,112,579.915,1230.603,2.887,1.53,4.8e-06,5.54e-05,1.882,-0.536
"MSI02157",65.727,106.495,72.015,43.539,0.913,-0.132,0.758,0.826,0.138,0.056
"MSI02158",53.111,96.796,80.807,58.963,0.657,-0.605,0.172,0.348,0.606,0.168
"MSI02159",110.481,140.515,192.249,397.871,0.575,-0.799,0.277,0.447,0.483,0.128
"MSI02160",60.079,71.648,102.111,111.416,0.588,-0.765,0.0775,0.236,0.779,0.19
"MSI02161",59.747,79.302,76.626,67.872,0.78,-0.359,0.364,0.52,0.405,0.107
"Benzimidazole [M]+",1250.696,83.657,293.092,606.81,4.267,2.093,1.38e-12,4.16e-11,2.619,-0.755
"MSI02163",86.035,123.071,120.251,270.565,0.715,-0.483,0.517,0.638,0.289,0.06
"MSI02164",62.649,89.369,113.051,155.702,0.554,-0.852,0.117,0.29,0.693,0.211
"MSI02165",67.446,117.213,123.835,211.176,0.545,-0.877,0.191,0.37,0.58,0.179
"MSI02166",57.837,103.503,202.469,398.996,0.286,-1.808,0.0516,0.191,0.857,0.266
"2-Butoxyethanol [M+H]+",34.464,47.418,195.764,373.799,0.176,-2.506,0.0184,0.0954,1.031,0.312
"MSI02168",42.3,81.358,126.632,318.532,0.334,-1.582,0.152,0.326,0.635,0.21
"MSI02169",48.604,65.826,119.617,283.474,0.406,-1.299,0.172,0.348,0.605,0.176
"MSI02170",100.274,130.946,325.65,669.753,0.308,-1.699,0.0665,0.219,0.809,0.222
"MSI02171",100.394,156.955,76.218,55.895,1.317,0.397,0.415,0.566,0.364,-0.101
"MSI02172",89.464,120.751,91.361,96.082,0.979,-0.03,0.945,0.963,0.031,0.02
"MSI02173",118.71,172.555,156.5,405.119,0.759,-0.399,0.629,0.729,0.216,0.074
"MSI02174",64.877,123.416,149.069,501.732,0.435,-1.2,0.36,0.517,0.408,0.107
"Thiazoles [M+K]+",90.598,121.802,107.321,255.039,0.844,-0.244,0.739,0.811,0.149,0.053
"MSI02176",64.305,77.29,143.264,230.448,0.449,-1.156,0.0709,0.225,0.797,0.243
"MSI02177",73.503,110.309,87.716,90.299,0.838,-0.255,0.575,0.684,0.25,0.068
"MSI02178",68.235,130.874,94.12,123.844,0.725,-0.464,0.42,0.569,0.36,0.104
"MSI02179",49.099,117.302,166.696,393.361,0.295,-1.764,0.11,0.282,0.707,0.205
"MSI02180",45.936,100.11,154.948,337.092,0.296,-1.754,0.0844,0.247,0.762,0.221
"MSI02181",70.39,106.907,115.327,215.087,0.61,-0.712,0.294,0.463,0.467,0.137
"MSI02182",83.945,142.649,108.332,106.818,0.775,-0.368,0.442,0.584,0.343,0.085
"MSI02183",78.126,143.161,72.943,53.848,1.071,0.099,0.849,0.893,0.085,-0.025
"Isoniazid alpha-ketoglutaric acid [M]+",754.486,50.466,101.015,199.427,7.469,2.901,2.88e-26,1.03e-23,3.211,-0.924
"4a-Hydroxytetrahydrobiopterin [M+Na]+",51.793,98.91,155.177,272.83,0.334,-1.583,0.0482,0.181,0.869,0.229
"S-Formylglutathione [M]+",12382.23,874.979,2964.195,6494.05,4.177,2.063,2.35e-11,5.6e-10,2.519,-0.726
"9-Aminocamptothecin [M+NH4]+",127.147,109.611,123.994,121.726,1.025,0.036,0.914,0.939,0.048,-0.031
"Erythromycin B [M+Na]+",273.612,22.541,138.064,230.786,1.982,0.987,0.00157,0.0112,1.358,-0.379
"Lecithin [M+K]+_1",213.373,174.076,86.937,92.71,2.454,1.295,0.000582,0.00464,1.467,-0.43
"O2 [M+H-2H2O]+",72.866,61.304,63.652,41.883,1.145,0.195,0.485,0.615,0.311,-0.088
"MSI02191",38.848,43.693,61.872,35.828,0.628,-0.671,0.0245,0.118,0.985,0.281
"MSI02192",94.412,138.506,246.639,528.322,0.383,-1.385,0.12,0.294,0.688,0.182
"MSI02193",65.965,93.097,130.874,178.362,0.504,-0.988,0.0728,0.228,0.792,0.224
"MSI02194",50.003,88.374,205.115,451.386,0.244,-2.036,0.0611,0.212,0.826,0.24
"MSI02195",104.603,111.74,229.724,520.774,0.455,-1.135,0.189,0.367,0.584,0.16
"MSI02196",103.973,136.6,276.315,634.594,0.376,-1.41,0.138,0.311,0.657,0.177
"MSI02197",93.937,114.689,211.31,388.452,0.445,-1.17,0.106,0.277,0.715,0.197
"MSI02198",110.297,119.423,84.939,91.544,1.298,0.377,0.344,0.504,0.421,-0.132
"difluorophosphinic acid [M+H]+",87.848,99.237,220.195,415.972,0.399,-1.326,0.0849,0.248,0.761,0.218
"Arsenate ion [M+H-2H2O]+",47.317,41.9,301.971,277.776,0.157,-2.674,3.11e-06,3.72e-05,1.913,0.554
"MSI02201",85.831,119.053,175.276,364.596,0.49,-1.03,0.192,0.37,0.579,0.16
"MSI02202",92.29,121.263,220.581,472.126,0.418,-1.257,0.142,0.314,0.651,0.209
"MSI02203",132.02,171.574,244.234,652.209,0.541,-0.888,0.35,0.509,0.416,0.12
"MSI02204",131.446,172.069,249.323,651.527,0.527,-0.924,0.326,0.49,0.437,0.126
"MSI02205",43.802,68.141,152.207,242.613,0.288,-1.797,0.0179,0.093,1.035,0.307
"MSI02206",95.359,146.352,175.088,429.378,0.545,-0.877,0.324,0.488,0.439,0.12
"MSI02207",115.24,136.21,103.996,137.5,1.108,0.148,0.744,0.814,0.146,-0.018
"MSI02208",122.268,168.117,97.678,164.199,1.252,0.324,0.556,0.667,0.263,-0.072
"1,2,3-Thiadiazole [M+Na]+",73.505,90.628,76.579,57.99,0.96,-0.059,0.872,0.908,0.072,0.001
"MSI02210",65.274,103.193,116.371,273.993,0.561,-0.834,0.327,0.491,0.436,0.117
"MSI02211",75.645,134.062,175.721,339.729,0.43,-1.216,0.126,0.299,0.677,0.188
"butyric acid [M+Na]+",81.708,136.485,243.503,677.732,0.336,-1.575,0.19,0.369,0.581,0.168
"3-Buten-1-amine [M+K]+",99.582,140.504,70.067,50.179,1.421,0.507,0.267,0.44,0.493,-0.122
"MSI02214",92.15,123.174,125.339,288.682,0.735,-0.444,0.552,0.664,0.266,0.08
"MSI02215",85.362,118.34,195.01,371.104,0.438,-1.192,0.116,0.289,0.695,0.184
"MSI02216",57,88.411,169.072,395.255,0.337,-1.569,0.123,0.297,0.684,0.198
"MSI02217",67.586,106.233,115.237,156.352,0.586,-0.77,0.159,0.334,0.625,0.168
"MSI02218",74.724,87.283,215.566,354.655,0.347,-1.528,0.033,0.144,0.936,0.256
"MSI02219",55.215,37.775,310.064,223.337,0.178,-2.489,2.67e-08,4.51e-07,2.204,0.638
"2-oxopent-4-enoate [M]+",122.342,146.64,76.571,96.206,1.598,0.676,0.145,0.318,0.646,-0.194
"&alpha [M+K]+",92.594,124.797,65.71,33.405,1.409,0.495,0.244,0.417,0.518,-0.142
"MSI02222",56.902,100.445,158.635,328.543,0.359,-1.479,0.099,0.269,0.73,0.208
"MSI02223",85.444,141.454,148.325,442.522,0.576,-0.796,0.447,0.586,0.339,0.102
"MSI02224",66.303,100.285,134.075,319.165,0.495,-1.016,0.256,0.429,0.505,0.146
"504-07-4 [M]+",89.396,122.292,120.999,257.328,0.739,-0.437,0.533,0.65,0.278,0.106
"tris(methane) alumane [M+K]+",67.305,69.353,126.873,213.066,0.53,-0.915,0.138,0.311,0.658,0.19
"&alpha [M+K]+_1",133.659,193.031,94.965,113.262,1.407,0.493,0.332,0.495,0.432,-0.108
"N,N'-Diacetylhydrazine [M]+",1255.822,84,502.34,1006.795,2.5,1.322,8.14e-05,0.000785,1.656,-0.471
"sulfate [M+H-2H2O]+",50.849,96.102,93.175,76.632,0.546,-0.874,0.056,0.201,0.842,0.229
"Glycocyamine [M]+",35.328,50.679,130.576,251.726,0.271,-1.886,0.04,0.162,0.903,0.236
"MSI02231",119.919,153.198,173.668,318.226,0.691,-0.534,0.393,0.545,0.381,0.099
"MSI02232",115.473,175.067,137.295,201.094,0.841,-0.25,0.645,0.742,0.206,0.046
"MSI02233",132.663,186.357,177.739,283.075,0.746,-0.422,0.455,0.591,0.334,0.082
"MSI02234",48.199,65.374,80.784,59.936,0.597,-0.745,0.0418,0.166,0.895,0.252
"MSI02235",47.231,86.657,201.385,399.448,0.235,-2.092,0.0369,0.153,0.917,0.285
"1,3,5-Hexatriene [M+K]+",43.782,81.423,130.411,318.333,0.336,-1.575,0.141,0.314,0.652,0.216
"MSI02237",95.803,111.369,172.931,442.322,0.554,-0.852,0.343,0.503,0.423,0.123
"MSI02238",73.966,118.651,90.36,72.293,0.819,-0.289,0.507,0.631,0.296,0.092
"MSI02239",82.364,124.143,75.884,61.799,1.085,0.118,0.792,0.851,0.118,-0.045
"1,2-dihydropyrimidine [M+K]+",112.076,145.193,139.407,306.808,0.804,-0.315,0.65,0.745,0.202,0.044
"MSI02241",97.9,128.725,108.449,210.851,0.903,-0.148,0.81,0.866,0.108,0.041
"MSI02242",71.892,131.093,229.114,506.807,0.314,-1.672,0.0943,0.262,0.74,0.222
"dimethylarsinous acid [M]+",48.197,60.765,265.474,369.229,0.182,-2.462,0.00168,0.0118,1.35,0.39
"MSI02244",82.016,102.895,166.741,255.697,0.492,-1.024,0.087,0.251,0.756,0.198
"MSI02245",93.982,171.214,67.452,33.607,1.393,0.479,0.393,0.546,0.381,-0.121
"MSI02246",54.44,85.378,121.951,238.638,0.446,-1.164,0.137,0.311,0.659,0.203
"MSI02247",48.885,81.45,73.096,48.339,0.669,-0.58,0.153,0.327,0.633,0.174
"MSI02248",87.482,139.59,110.149,161.037,0.794,-0.332,0.55,0.663,0.267,0.078
"2-Hydroxypyridine [M+K]+",120.22,150.282,57.434,22.916,2.093,1.066,0.0227,0.112,0.997,-0.266
"MSI02250",32.183,71.818,202.115,563.248,0.159,-2.651,0.0955,0.264,0.737,0.223
"MSI02251",114.325,191.046,175.317,626.25,0.652,-0.617,0.6,0.705,0.234,0.071
"MSI02252",76.161,117.405,182.507,438.181,0.417,-1.261,0.19,0.368,0.582,0.166
"CARNITINE [M]+_1",80.476,130.6,107.451,119.696,0.749,-0.417,0.392,0.545,0.381,0.117
"(R)-3-[(R)-3-hydroxybutanoyloxy]butanoic acid [M+Na]+",4683.803,313.292,1227.02,2567.812,3.817,1.933,2.3e-10,5.01e-09,2.428,-0.69
"LPC(15:0) [M+H]+",215.901,83.35,63.243,35.341,3.414,1.771,8.96e-14,3.7e-12,2.704,-0.781
"3123-67-9 [M+H]+",47.488,36.515,106.029,134.238,0.448,-1.159,0.0204,0.104,1.015,0.29
"Ceramide [M]+",111.222,128.731,127.916,207.1,0.869,-0.202,0.7,0.781,0.172,0.044
"Lecithin [M+Na]+_7",60.387,80.476,64.935,43.26,0.93,-0.105,0.779,0.841,0.125,0.013
"MSI02259",83.872,88.606,160.578,325.852,0.522,-0.937,0.204,0.382,0.565,0.143
"MSI02260",66.057,86.694,130.874,178.362,0.505,-0.986,0.0692,0.223,0.802,0.227
"MSI02261",55.918,68.297,150.705,276.208,0.371,-1.43,0.0642,0.216,0.816,0.239
"MSI02262",78.092,97.237,252.564,541.012,0.309,-1.693,0.0774,0.236,0.78,0.214
"MSI02263",110.5,119.142,84.939,91.544,1.301,0.38,0.34,0.501,0.425,-0.133
"MSI02264",124.574,150.994,206.185,474.64,0.604,-0.727,0.358,0.515,0.41,0.112
"MSI02265",89.659,134.436,143.279,360.162,0.626,-0.676,0.433,0.579,0.35,0.108
"MSI02266",63.729,80.36,115.83,200.331,0.55,-0.862,0.177,0.354,0.599,0.175
"MSI02267",49.241,54.207,133.551,213.563,0.369,-1.44,0.0343,0.147,0.929,0.26
"Ag [M-H2O+NH4]+",111.58,154.397,65.21,38.329,1.711,0.775,0.104,0.275,0.719,-0.192
"MSI02269",93.368,128.118,81.153,97.552,1.151,0.202,0.669,0.759,0.191,-0.055
"MSI02270",41.06,65.258,130.806,226.92,0.314,-1.672,0.0355,0.15,0.924,0.266
"MSI02271",82.993,104.305,123.967,218.133,0.669,-0.579,0.341,0.502,0.424,0.106
"MSI02272",72.476,100.526,149.266,237.805,0.486,-1.042,0.0975,0.267,0.733,0.202
"MSI02273",47.697,67.678,123.168,190.722,0.387,-1.369,0.0389,0.159,0.907,0.254
"MSI02274",75.837,117.808,184.898,390.041,0.41,-1.286,0.135,0.309,0.662,0.183
"MSI02275",117.848,165.355,210.302,450.726,0.56,-0.836,0.28,0.45,0.48,0.14
"MSI02276",76.148,121.985,111.561,157.874,0.683,-0.551,0.319,0.484,0.444,0.123
"3-methyl-1-heptene [M]+",99.929,115.277,294.238,569.565,0.34,-1.558,0.0632,0.215,0.819,0.219
"Isobutylamine [M+K]+",113.075,151.356,187.441,572.46,0.603,-0.729,0.48,0.61,0.315,0.077
"MSI02279",114.905,153.041,187.441,572.46,0.613,-0.706,0.491,0.62,0.307,0.076
"MSI02280",55.86,37.194,310.064,223.337,0.18,-2.473,2.81e-08,4.72e-07,2.201,0.637
"CH [M+K]+",54.196,78.304,77.8,53.103,0.697,-0.522,0.163,0.338,0.619,0.175
"MSI02282",64.084,83.178,156.901,329.369,0.408,-1.292,0.127,0.301,0.675,0.195
"MSI02283",58.485,69.702,127.716,235.04,0.458,-1.127,0.115,0.288,0.697,0.205
"MSI02284",80.339,111.195,84.774,81.711,0.948,-0.078,0.856,0.897,0.081,0.035
"5 [M]+",69.937,95.44,141.09,246.565,0.496,-1.012,0.133,0.307,0.666,0.205
"TAA [M+K]+",141.737,211.52,259.757,582.439,0.546,-0.874,0.285,0.455,0.475,0.145
"MSI02287",104.412,120.568,176.349,373.041,0.592,-0.756,0.303,0.471,0.458,0.132
"MSI02288",111.504,148.04,77.38,68.363,1.441,0.527,0.241,0.415,0.521,-0.161
"MSI02289",133.109,177.487,106.079,121.668,1.255,0.327,0.48,0.61,0.315,-0.096
"592-88-1 [M+H]+",149.173,199.661,170.277,332.65,0.876,-0.191,0.759,0.827,0.137,0.046
"MSI02291",66.404,82.812,87.27,123.563,0.761,-0.394,0.43,0.578,0.352,0.085
"MSI02292",102.961,151.106,162.495,392.539,0.634,-0.658,0.426,0.574,0.355,0.072
"MSI02293",53.545,64.549,158.538,308.528,0.338,-1.566,0.0642,0.216,0.816,0.242
"MSI02294",56.13,100.396,72.015,43.539,0.779,-0.36,0.415,0.566,0.364,0.119
"MSI02295",45.051,60.305,75.029,46.441,0.6,-0.736,0.0295,0.133,0.955,0.277
"E [M+H-2H2O]+_1",42.28,66.998,137.888,250.883,0.307,-1.705,0.0414,0.165,0.897,0.234
"MSI02297",40.266,56.459,113.265,262.541,0.356,-1.492,0.129,0.302,0.672,0.172
"MSI02298",88.804,135.97,158.667,270.874,0.56,-0.837,0.197,0.374,0.573,0.156
"MSI02299",50.724,64.133,67.743,44.877,0.749,-0.417,0.223,0.401,0.541,0.158
"3-aci-nitropropanoate [M]+",1534.928,102.669,299.59,655.032,5.123,2.357,1.88e-15,1.54e-13,2.809,-0.809
"MSI02301",112.749,177.794,145.522,263.689,0.775,-0.368,0.562,0.672,0.259,0.068
"MSI02302",65.293,96.211,150,240.708,0.435,-1.2,0.0693,0.223,0.801,0.243
"3-Nitrosothiazolidine [M+H]+",52.726,101.136,220.147,444.138,0.24,-2.062,0.0417,0.166,0.895,0.276
"S-Acetylthioethanolamine [M]+",57.463,103.42,220.147,444.138,0.261,-1.938,0.0479,0.18,0.87,0.269
"MSI02305",86.643,119.312,176.473,336.222,0.491,-1.026,0.159,0.334,0.624,0.183
"MSI02306",82.95,136.115,92.246,81.174,0.899,-0.153,0.741,0.813,0.148,0.032
"MSI02307",147.978,202.433,205.991,570.324,0.718,-0.477,0.59,0.696,0.241,0.073
"MSI02308",101.82,70.345,798.541,400.127,0.128,-2.971,4.75e-14,2.29e-12,2.722,0.789
"MSI02309",80.381,121.554,221.889,535.868,0.362,-1.465,0.15,0.324,0.638,0.18
"MSI02310",69.08,114.473,98.673,119.057,0.7,-0.514,0.315,0.481,0.448,0.12
"MSI02311",69.922,114.269,99.11,119.259,0.706,-0.503,0.321,0.486,0.442,0.119
"MSI02312",88.484,146.593,80.814,73.947,1.095,0.131,0.792,0.851,0.118,-0.038
"MSI02313",49.946,57.496,92.231,101.366,0.542,-0.885,0.0443,0.172,0.884,0.249
"acetate [M+Na]+",73.641,111.552,73.591,51.224,1.001,0.001,0.998,0.999,0.001,-0.003
"ZIN [M+H]+",93.626,143.187,75.884,61.799,1.234,0.303,0.522,0.643,0.286,-0.085
"MSI02316",53.613,70.749,228.739,230.317,0.234,-2.093,0.000118,0.0011,1.623,0.482
"MSI02317",64.877,123.416,149.069,501.732,0.435,-1.2,0.36,0.517,0.408,0.107
"&alpha [M]+_1",105.172,155.44,131.154,368.968,0.802,-0.319,0.715,0.793,0.163,0.048
"MSI02319",46.967,67.384,121.634,214.841,0.386,-1.373,0.0654,0.218,0.812,0.234
"MSI02320",65.947,120.946,213.159,423.034,0.309,-1.693,0.0631,0.215,0.819,0.241
"piperazine [M+K]+",50.559,71.657,104.918,150.364,0.482,-1.053,0.0696,0.223,0.8,0.222
"MSI02322",62.507,92.991,91.585,133.825,0.683,-0.551,0.317,0.482,0.446,0.147
"MSI02323",115.805,177.783,199.118,477.716,0.582,-0.782,0.359,0.516,0.409,0.118
"MSI02324",61.947,104.671,136.548,186.848,0.454,-1.14,0.0533,0.194,0.851,0.239
"MSI02325",93.012,139.918,66.694,40.504,1.395,0.48,0.311,0.477,0.451,-0.121
"MSI02326",62.649,90.393,110.79,218.428,0.565,-0.822,0.254,0.428,0.507,0.174
"MSI02327",51.306,87.601,133.847,242.264,0.383,-1.383,0.0748,0.231,0.786,0.227
"Imazethapyr [M+Na]+",43.025,68.575,135.099,324.817,0.318,-1.651,0.122,0.296,0.685,0.202
"76343-94-7 [M]+",190.989,102.71,105.223,164.195,1.815,0.86,0.0149,0.0796,1.063,-0.299
"Cer[NS] [M+H-H2O]+",192.295,66.153,57.434,22.916,3.348,1.743,4.87e-16,5.41e-14,2.842,-0.802
"WE 40:4 [M+K]+",93.559,125.379,127.916,207.1,0.731,-0.451,0.425,0.574,0.356,0.097
"3,4,5-tribromo-2-(3,5-dibromo-2-methoxyphenoxy)p... [M+NH4]+",88.39,127.552,127.916,207.1,0.691,-0.533,0.362,0.518,0.407,0.112
"MSI02333",17.961,25.691,57.434,22.916,0.313,-1.677,1.65e-08,2.94e-07,2.229,0.643
"PE(18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z)) [M+K]+",41.673,2.787,138.203,105.507,0.302,-1.73,2.62e-06,3.19e-05,1.925,0.539
"MSI02335",109.549,116.634,147.953,296.993,0.74,-0.434,0.498,0.625,0.302,0.066
"MSI02336",49.183,54.07,204.19,298.454,0.241,-2.054,0.00529,0.0327,1.208,0.348
"MSI02337",83.34,120.81,97.29,148.045,0.857,-0.223,0.681,0.768,0.184,0.067
"MSI02338",113.14,146.735,116.058,199.446,0.975,-0.037,0.947,0.964,0.03,0.016
"MSI02339",116.029,158.12,85.319,65.777,1.36,0.444,0.314,0.481,0.448,-0.126
"MSI02340",107.07,142.283,150.584,369.221,0.711,-0.492,0.536,0.652,0.276,0.08
"MSI02341",106.306,138.383,146.754,359.946,0.724,-0.465,0.555,0.667,0.263,0.083
"MSI02342",59.442,75.07,112.673,193.457,0.528,-0.923,0.152,0.326,0.635,0.179
"MSI02343",65.804,77.503,112.673,193.457,0.584,-0.776,0.208,0.386,0.559,0.16
