"","mean_region_1","sd_region_1","mean_region_2","sd_region_2","Fold Change","log2(FC)","p.value","FDR","VIP","pcorr"
"MSI00355",81.108,5.425,70.391,49.827,1.152,0.204,0.231,0.406,0.532,-0.146
"PI 37:3 [M]+",47.977,43.063,64.582,51.429,0.743,-0.429,0.166,0.342,0.614,0.169
"MSI00357",80.391,102.585,67.447,66.591,1.192,0.253,0.552,0.664,0.266,-0.085
"O3 [M+K]+",100.541,55.313,60.535,28.791,1.661,0.732,0.000577,0.00462,1.468,-0.418
"Antibiotic CC 1065 [M+Na]+",461.873,307.821,754.242,1157.618,0.612,-0.708,0.172,0.348,0.606,0.178
"PI(32:2) [M+H]+",251.953,45.301,258.978,426.685,0.973,-0.04,0.927,0.948,0.041,0.027
"MSI00361",150.446,123.65,115.681,190.104,1.3,0.379,0.389,0.543,0.384,-0.112
"Teflubenzuron [M+Na]+",31.284,30.087,113.136,118.023,0.277,-1.855,0.000331,0.00283,1.524,0.435
"PA(24:1(15Z)/24:1(15Z)) [M+H]+",92.54,110.696,73.582,89.104,1.258,0.331,0.453,0.591,0.334,-0.107
"Firocoxib [M]+",496.239,33.193,113.814,188.547,4.36,2.124,1.08e-16,1.49e-14,2.877,-0.837
"4-[3,7,11,17-tetrahydroxy-2-(hydroxymethyl)-15-m... [M+NH4]+",29.542,24.665,91.04,179.518,0.324,-1.624,0.0595,0.209,0.83,0.233
"1114-41-6 [M]+",300.123,20.075,136.326,174.516,2.201,1.139,1.79e-06,2.25e-05,1.951,-0.557
"Vanylglycol [M]+",242.466,16.218,62.036,31.839,3.908,1.967,2.17e-37,2.17e-34,3.38,-0.959
"PE(46:3) [M+H-H2O]+",93.26,46.634,60.535,28.791,1.541,0.623,0.00127,0.00926,1.382,-0.39
"Lecithin [M+NH4]+_5",104.543,7.005,202.247,252.051,0.517,-0.952,0.0321,0.142,0.94,0.274
"Ranelic acid [M+Na]+",36.458,70.102,146.165,152.414,0.249,-2.003,0.000461,0.00382,1.491,0.438
"1,26-Dicaffeoylhexacosanediol [M+NH4]+",273.612,22.541,138.064,230.786,1.982,0.987,0.00157,0.0112,1.358,-0.379
"Lecithin [M]+_8",41.704,22.69,57.434,22.916,0.726,-0.462,0.00761,0.0449,1.159,0.325
"O [M]+_1",98.66,104.187,184.761,164.327,0.534,-0.905,0.015,0.0798,1.062,0.299
"MSI00374",175.684,91.187,254.047,421.699,0.692,-0.532,0.308,0.475,0.454,0.124
"Quinquenoside F1 [M]+",91.115,44.648,82.756,71.069,1.101,0.139,0.575,0.684,0.25,-0.083
"MSI00376",115.669,30.311,88.397,113.88,1.308,0.388,0.195,0.373,0.575,-0.177
"Bromine azide [M+H-H2O]+",35.45,23.572,270.679,226.623,0.131,-2.933,2.07e-07,3e-06,2.089,0.602
"5-Methyltetrahydropteroyltri-L-glutamate [M+H-H2O]+",145.332,101.033,70.709,44.18,2.055,1.039,0.000303,0.00263,1.533,-0.439
"MSI00379",212.145,174.797,86.937,92.71,2.44,1.287,0.000675,0.0053,1.451,-0.426
"Mometasone fuorate [M]+",151.637,130.831,167.749,316.056,0.904,-0.146,0.791,0.85,0.119,0.04
"1-(4-Biphenylyl)-4(S)-hydroxy-5(S)-2,5-bis((N-(m... [M+Na]+",99.587,103.848,250.071,294.129,0.398,-1.328,0.00825,0.048,1.148,0.309
"GPEtn(46:4) [M+H-H2O]+",159.455,52.042,60.522,26.49,2.635,1.398,7.52e-14,3.18e-12,2.709,-0.779
"demethyllactenocin [M+H-H2O]+",91.04,96.732,176.317,163.052,0.516,-0.954,0.0134,0.0733,1.078,0.298
"Epibatidine [M]+",627.977,42.004,169.542,293.649,3.704,1.889,2.06e-12,5.95e-11,2.605,-0.744
"GlcAbeta-Cer(d16:0/14:0) [M]+",58.284,33.57,57.434,22.916,1.015,0.021,0.906,0.933,0.053,-0.008
"acyl phosphatidylglycerol (n-C12:0) [M+Na]+",68.125,87.832,64.935,43.26,1.049,0.069,0.854,0.896,0.082,-0.043
"PS(18:3(9,11,15)-OH(13)/18:4(6Z,9Z,12Z,15Z)) [M+K]+",124.035,53.482,76.019,66.624,1.632,0.706,0.0023,0.0157,1.313,-0.386
"1-eicsoic acid [M+NH4]+_4",29.849,30.212,57.434,22.916,0.52,-0.944,0.000116,0.00109,1.624,0.464
"3,5-Dichloro-2-methylmuconolactone [M]+",59.438,47.001,376.89,285.251,0.158,-2.665,4.87e-08,7.78e-07,2.172,0.629
"4-Deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-... [M+H-2H2O]+",156.762,113.763,136.279,313.472,1.15,0.202,0.729,0.805,0.155,-0.049
"MSI00391",54.064,14.354,126.747,105.473,0.427,-1.229,0.000271,0.00238,1.544,0.439
"MSI00392",30.166,40.133,69.455,54.03,0.434,-1.203,0.0016,0.0113,1.356,0.397
"2-[[(2E,4E,6E,11R)-12-[(4aS,6R,8S,8aR)-4-[[(2S)-... [M+K]+",124.308,53.501,76.019,66.624,1.635,0.709,0.00219,0.0149,1.319,-0.387
"1403-66-3 [M+H]+",72.584,44.533,164.741,133.794,0.441,-1.183,0.000464,0.00384,1.49,0.417
"Thermocryptoxanthin-13 [M]+",174.109,52.521,96.702,184.955,1.8,0.848,0.0262,0.124,0.974,-0.289
"PI 42:9 [M+Na]+",28.395,11.674,73.962,53.308,0.384,-1.381,1.37e-05,0.000148,1.804,0.523
"3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,12,12,12-Ic... [M-H2O+NH4]+",87.722,24.552,137.057,179.55,0.64,-0.644,0.129,0.302,0.673,0.196
"Acronycidine [M]+",436.114,29.171,219.273,397.043,1.989,0.992,0.00307,0.0202,1.278,-0.37
"MSI00399",88.876,69.112,281.988,330.685,0.315,-1.666,0.00196,0.0136,1.332,0.368
"trimethyl(2-{[(2R)-2-(pentadecanoyloxy)-3-{[(5S,... [M+H]+",68.125,87.832,64.935,43.26,1.049,0.069,0.854,0.896,0.082,-0.043
"MSI00401",167.855,86.791,217.36,391.87,0.772,-0.373,0.488,0.617,0.31,0.093
"MSI00402",184.627,72.832,62.84,38.72,2.938,1.555,9.71e-12,2.4e-10,2.551,-0.739
"Triazophos [M+K]+",2289.495,153.14,1423.498,2361.19,1.608,0.686,0.0426,0.168,0.892,-0.25
"Myxochromide S2 [M+H-2H2O]+",57.524,100.348,69.753,66.174,0.825,-0.278,0.567,0.676,0.256,0.067
"Caribenolide I [M+K]+",24.783,76.578,57.434,22.916,0.432,-1.213,0.0242,0.117,0.987,0.297
"1-Phosphatidyl-1D-myo-inositol-4-phosphate [M+NH4]+",20.976,38.716,57.434,22.916,0.365,-1.453,2.26e-05,0.000238,1.764,0.494
"Erythromycin E [M+NH4]+",232.074,105.585,70.019,61.005,3.314,1.729,2.72e-10,5.84e-09,2.421,-0.706
"Theogallin [M+Na]+",56.071,13.795,309.977,150.846,0.181,-2.467,1.12e-13,4.36e-12,2.697,0.772
"MSI00409",30.104,49.505,89.855,186.272,0.335,-1.578,0.0844,0.247,0.762,0.247
"Ceftaroline [M+H-H2O]+",87.722,24.552,137.057,179.55,0.64,-0.644,0.129,0.302,0.673,0.196
"N2'-acetylgentamicin C<SUB>1A</SUB> [M+H]+",124.498,30.694,86.532,131.023,1.439,0.525,0.116,0.289,0.696,-0.17
"(9Z)-N-[(2S,3R,4E,14Z)-1,3-dihydroxyoctadeca-4,1... [M]+",111.773,122.39,57.434,22.916,1.946,0.961,0.0163,0.0858,1.049,-0.312
"MSI00413",150.446,123.65,115.681,190.104,1.3,0.379,0.389,0.543,0.384,-0.112
"PC 36:4 [M+H]+",74.54,5.907,242.037,196.493,0.308,-1.699,9.67e-06,0.000106,1.83,0.511
